2025-08-17 13:12:00 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1472 | WebSocket compatibility error: WebSocket is not connected. Need to call "accept" first.
2025-08-17 13:12:01 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1487 | Error closing WebSocket: Cannot call "send" once a close message has been sent.
2025-08-17 14:43:06 | ERROR    | voice_assistant.errors | lifespan:56 | ❌ Database initialization failed
2025-08-17 15:08:38 | ERROR    | voice_assistant.errors | lifespan:56 | ❌ Database initialization failed
2025-08-18 03:41:22 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1641 | WebSocket compatibility error: (<CloseCode.ABNORMAL_CLOSURE: 1006>, '')
2025-08-20 01:26:11 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1622 | WebSocket compatibility error: (<CloseCode.ABNORMAL_CLOSURE: 1006>, '')
2025-08-20 01:50:19 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1640 | WebSocket compatibility error: WebSocket is not connected. Need to call "accept" first.
2025-08-20 01:50:20 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1655 | Error closing WebSocket: Cannot call "send" once a close message has been sent.
2025-08-20 01:55:46 | ERROR    | voice_assistant.errors | lifespan:56 | ❌ Database initialization failed
2025-08-20 23:35:04 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1661 | WebSocket compatibility error: WebSocket is not connected. Need to call "accept" first.
2025-08-20 23:35:05 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1676 | Error closing WebSocket: Cannot call "send" once a close message has been sent.
2025-08-21 00:11:49 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1616 | WebSocket compatibility error: (<CloseCode.ABNORMAL_CLOSURE: 1006>, '')
2025-08-21 00:55:08 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1656 | WebSocket compatibility error: WebSocket is not connected. Need to call "accept" first.
2025-08-21 00:55:09 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1671 | Error closing WebSocket: Cannot call "send" once a close message has been sent.
2025-08-21 01:08:12 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1665 | WebSocket compatibility error: WebSocket is not connected. Need to call "accept" first.
2025-08-21 01:08:13 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1680 | Error closing WebSocket: Cannot call "send" once a close message has been sent.
2025-08-21 02:08:06 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1665 | WebSocket compatibility error: WebSocket is not connected. Need to call "accept" first.
2025-08-21 02:08:07 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1680 | Error closing WebSocket: Cannot call "send" once a close message has been sent.
2025-08-21 02:15:18 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1651 | WebSocket compatibility error: (<CloseCode.ABNORMAL_CLOSURE: 1006>, '')
2025-09-06 19:46:15 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e2b66127e6118ea732bbdc873eb21996. HTTP 404
2025-09-06 19:51:31 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:51:42 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:51:52 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:52:03 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:52:03 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:52:13 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:52:13 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:52:24 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:52:24 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:52:34 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:52:34 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:52:45 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:52:45 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:52:55 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
